Scenario - 
Logfile written - 06/22/2013 13:14:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
evnka101_1passive	100	Sound	standard	1199575	0	1			0		other	0
evnka101_1passive	101	Sound	standard	1211305	0	2			0		other	0
evnka101_1passive	102	Sound	standard	1223435	0	2			0		other	0
evnka101_1passive	103	Sound	standard	1234905	0	2			0		other	0
evnka101_1passive	104	Sound	deviant	1247495	0	2			0		other	0
evnka101_1passive	105	Sound	standard	1260135	0	2			0		other	0
evnka101_1passive	106	Sound	standard	1271315	0	2			0		other	0
evnka101_1passive	107	Sound	standard	1283715	0	2			0		other	0
evnka101_1passive	108	Sound	standard	1295215	0	1			0		other	0
evnka101_1passive	109	Sound	standard	1306374	0	2			0		other	0
evnka101_1passive	110	Sound	standard	1317234	0	2			0		other	0
evnka101_1passive	111	Sound	standard	1328224	0	1			0		other	0
evnka101_1passive	112	Sound	standard	1339974	0	2			0		other	0
evnka101_1passive	113	Sound	standard	1351064	0	2			0		other	0
evnka101_1passive	114	Sound	standard	1363124	0	1			0		other	0
evnka101_1passive	115	Sound	deviant	1374273	0	2			0		other	0
evnka101_1passive	116	Sound	standard	1385483	0	2			0		other	0
evnka101_1passive	117	Sound	standard	1396873	0	2			0		other	0
evnka101_1passive	118	Sound	standard	1408573	0	2			0		other	0
evnka101_1passive	119	Sound	standard	1419473	0	2			0		other	0
evnka101_1passive	120	Sound	standard	1430453	0	2			0		other	0
evnka101_1passive	121	Sound	standard	1442723	0	2			0		other	0
evnka101_1passive	122	Sound	standard	1453713	0	1			0		other	0
evnka101_1passive	123	Sound	standard	1464703	0	1			0		other	0
evnka101_1passive	124	Sound	deviant	1475833	0	1			0		other	0
evnka101_1passive	125	Sound	standard	1488343	0	2			0		other	0
evnka101_1passive	126	Sound	standard	1500062	0	1			0		other	0
evnka101_1passive	127	Sound	standard	1512452	0	2			0		other	0
evnka101_1passive	128	Sound	standard	1523552	0	2			0		other	0
evnka101_1passive	129	Sound	standard	1534912	0	2			0		other	0
evnka101_1passive	130	Sound	standard	1546932	0	2			0		other	0
evnka101_1passive	131	Sound	standard	1558812	0	2			0		other	0
evnka101_1passive	132	Sound	standard	1570622	0	2			0		other	0
evnka101_1passive	133	Sound	standard	1581822	0	2			0		other	0
evnka101_1passive	134	Sound	standard	1593303	0	1			0		other	0
evnka101_1passive	135	Sound	standard	1605452	0	2			0		other	0
evnka101_1passive	136	Sound	deviant	1617452	0	2			0		other	0
evnka101_1passive	137	Sound	standard	1628282	0	2			0		other	0
evnka101_1passive	138	Sound	standard	1640132	0	2			0		other	0
evnka101_1passive	139	Sound	deviant	1651492	0	1			0		other	0
evnka101_1passive	140	Sound	standard	1663981	0	2			0		other	0
evnka101_1passive	141	Sound	standard	1674771	0	2			0		other	0
evnka101_1passive	142	Sound	standard	1686621	0	1			0		other	0
evnka101_1passive	143	Sound	standard	1699140	0	1			0		other	0
evnka101_1passive	144	Sound	standard	1711130	0	2			0		other	0
evnka101_1passive	145	Sound	deviant	1723640	0	2			0		other	0
evnka101_1passive	146	Sound	standard	1736180	0	1			0		other	0
evnka101_1passive	147	Sound	standard	1748170	0	1			0		other	0
evnka101_1passive	148	Sound	standard	1760260	0	2			0		other	0
evnka101_1passive	149	Sound	standard	1771800	0	2			0		other	0
evnka101_1passive	150	Sound	standard	1784220	0	1			0		other	0
evnka101_1passive	151	Sound	standard	1796789	0	2			0		other	0
evnka101_1passive	152	Sound	standard	1808869	0	2			0		other	0
evnka101_1passive	153	Sound	standard	1821339	0	1			0		other	0
evnka101_1passive	154	Sound	standard	1832569	0	1			0		other	0
evnka101_1passive	155	Sound	standard	1844436	0	8			0		other	0
evnka101_1passive	156	Sound	standard	1856490	0	1			0		other	0
evnka101_1passive	157	Sound	standard	1868549	0	1			0		other	0
evnka101_1passive	158	Sound	deviant	1881269	0	1			0		other	0
evnka101_1passive	159	Sound	standard	1892309	0	2			0		other	0
evnka101_1passive	160	Sound	standard	1904579	0	1			0		other	0
evnka101_1passive	161	Sound	standard	1915599	0	2			0		other	0
evnka101_1passive	162	Sound	deviant	1927469	0	1			0		other	0
evnka101_1passive	163	Sound	standard	1939979	0	1			0		other	0
evnka101_1passive	164	Sound	standard	1950769	0	2			0		other	0
evnka101_1passive	165	Sound	standard	1963159	0	1			0		other	0
evnka101_1passive	166	Sound	deviant	1975739	0	2			0		other	0
evnka101_1passive	167	Sound	standard	1987609	0	2			0		other	0
evnka101_1passive	168	Sound	standard	1999669	0	2			0		other	0
evnka101_1passive	169	Sound	standard	2011799	0	2			0		other	0
evnka101_1passive	170	Sound	deviant	2024269	0	2			0		other	0
evnka101_1passive	171	Sound	standard	2036029	0	1			0		other	0
evnka101_1passive	172	Sound	standard	2046818	0	2			0		other	0
evnka101_1passive	173	Sound	standard	2059448	0	1			0		other	0
evnka101_1passive	174	Sound	standard	2070968	0	1			0		other	0
evnka101_1passive	175	Sound	standard	2082838	0	2			0		other	0
evnka101_1passive	176	Sound	standard	2094148	0	1			0		other	0
evnka101_1passive	177	Sound	standard	2106328	0	2			0		other	0
evnka101_1passive	178	Sound	standard	2117918	0	2			0		other	0
evnka101_1passive	179	Sound	deviant	2129888	0	2			0		other	0
evnka101_1passive	180	Sound	standard	2140818	0	2			0		other	0
evnka101_1passive	181	Sound	standard	2153298	0	1			0		other	0
evnka101_1passive	182	Sound	standard	2165597	0	2			0		other	0
evnka101_1passive	183	Sound	deviant	2177877	0	2			0		other	0
evnka101_1passive	184	Sound	standard	2190217	0	2			0		other	0
evnka101_1passive	185	Sound	standard	2202717	0	2			0		other	0
evnka101_1passive	186	Sound	standard	2214067	0	1			0		other	0
evnka101_1passive	187	Sound	standard	2225236	0	2			0		other	0
evnka101_1passive	188	Sound	deviant	2236926	0	2			0		other	0
evnka101_1passive	189	Sound	standard	2248407	0	1			0		other	0
evnka101_1passive	190	Sound	standard	2260306	0	2			0		other	0
evnka101_1passive	191	Sound	standard	2272376	0	1			0		other	0
evnka101_1passive	192	Sound	standard	2284036	0	2			0		other	0
evnka101_1passive	193	Sound	standard	2294936	0	2			0		other	0
evnka101_1passive	194	Sound	standard	2306346	0	2			0		other	0
evnka101_1passive	195	Sound	standard	2317916	0	2			0		other	0
evnka101_1passive	196	Sound	standard	2330096	0	1			0		other	0
evnka101_1passive	197	Sound	standard	2341936	0	2			0		other	0
evnka101_1passive	198	Sound	standard	2354586	0	2			0		other	0
evnka101_1passive	199	Sound	standard	2366226	0	2			0		other	0
